geoid,place,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-placeOfBirth-BornInStateOfResidence,County-Person-gender-Female,County-Person-race-USC_TwoOrMoreRaces,County-Person-age-Years15Onwards-income-USDollar75000Onwards-incomeStatus-WithIncome,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-Person-povertyStatus-BelowPovertyLevelInThePast12Months,County-Person-age-Years15Onwards-maritalStatus-NowMarriedExceptSeparated,County-Person
28125,Sharkey County,11,843,294,4272,2738,1e-10,93,1111,1487,1407,4889
27033,Cottonwood County,473,2845,877,8566,6027,278,589,3794,1555,5350,11658
21121,Knox County,330,7071,1564,26069,16402,222,670,7954,10812,12673,31865
20089,Jewell County,30,781,356,1940,1491,35,130,1155,379,1771,3061
21021,Boyle County,711,5278,2087,20395,14490,938,1317,7213,4831,11264,28701
29097,Jasper County,4412,21433,8408,69017,59787,3630,4655,28933,20893,46670,116803
26151,Sanilac County,468,12601,3205,38272,21567,628,1610,13201,7061,18704,42637
25019,Nantucket County,1694,1629,510,4700,5077,316,1645,2677,1048,4298,10224
20167,Russell County,49,1506,619,5238,3462,160,216,2498,1000,3289,6945
28153,Wayne County,47,4368,1178,17165,10759,171,1151,6754,5805,8535,20675
28139,Tippah County,348,4421,1274,16714,11317,531,528,6485,5522,9576,22080
21013,Bell County,91,5698,1668,21956,14655,328,518,7521,9168,11213,28409
22057,Lafourche Parish,2576,21398,4555,86121,48920,2252,6771,27266,13296,39291,96755
29153,Ozark County,39,2639,1374,4031,4725,197,192,3212,1919,4958,9653
29065,Dent County,139,3358,1554,11310,7910,307,373,4271,3205,7106,15649
20037,Crawford County,1336,6108,2511,25212,19598,1107,1562,9364,7681,14913,39182
27023,Chippewa County,401,2669,797,9971,6253,334,696,3658,1281,5524,12272
29017,Bollinger County,80,3189,1111,10014,6223,111,416,3842,2447,5631,12408
21193,Perry County,163,5205,1563,24977,14618,312,944,7759,7006,11590,28488
21023,Bracken County,77,2035,571,6648,4234,17,326,2545,1411,3615,8472
